round,client_id,num_examples,train_loss,train_score
1.0,0,149.0,1.7588176151250032,0.3624161183834076
1.0,1,144.0,1.7343042426639133,0.2013888955116272
1.0,2,158.0,1.7502845902986164,0.20886075496673584
2.0,1,144.0,1.6139329671859741,0.5069444179534912
2.0,2,158.0,1.6227746281442763,0.46202531456947327
2.0,0,149.0,1.6418292466426057,0.4093959629535675
3.0,1,144.0,1.4313356743918524,0.5833333134651184
3.0,2,158.0,1.3969038981425612,0.550632894039154
3.0,0,149.0,1.4035822785140684,0.3959731459617615
4.0,2,158.0,1.1910428231275534,0.6139240264892578
4.0,0,149.0,1.1962255247487317,0.6375839114189148
4.0,1,144.0,1.2510676516426935,0.6458333134651184
5.0,0,149.0,1.0218447550831224,0.6107382774353027
5.0,1,144.0,1.1120859252081976,0.5416666865348816
5.0,2,158.0,1.048148598852037,0.7215189933776855
6.0,1,144.0,0.9414951801300049,0.6319444179534912
6.0,0,149.0,0.8555382630168992,0.6845637559890747
6.0,2,158.0,0.8516903632803808,0.8101266026496887
7.0,1,144.0,0.842350012726254,0.6388888955116272
7.0,0,149.0,0.7099640373415594,0.791946291923523
7.0,2,158.0,0.7118243303480027,0.8670886158943176
8.0,2,158.0,0.5883625383618512,0.8797468543052673
8.0,0,149.0,0.5846579926926018,0.7583892345428467
8.0,1,144.0,0.7220469249619378,0.6944444179534912
9.0,0,149.0,0.518295316888182,0.7718120813369751
9.0,1,144.0,0.7421743075052897,0.6597222089767456
9.0,2,158.0,0.5774560857422745,0.8101266026496887
10.0,2,158.0,0.40742360376104525,0.8797468543052673
10.0,0,149.0,0.4273918443078163,0.8255033493041992
10.0,1,144.0,0.6494951181941562,0.6875
11.0,2,158.0,0.37462986307808116,0.8734177350997925
11.0,0,149.0,0.3931881327357068,0.8322147727012634
11.0,1,144.0,0.4598441852463616,0.7708333134651184
12.0,0,149.0,0.3405311945700805,0.8791946172714233
12.0,1,144.0,0.4500221212704976,0.7708333134651184
12.0,2,158.0,0.2853613356246224,0.9683544039726257
13.0,2,158.0,0.28076072565362425,0.9936708807945251
13.0,1,144.0,0.403704971075058,0.7569444179534912
13.0,0,149.0,0.27514771427084134,0.9463087320327759
14.0,1,144.0,0.3584147360589769,0.8888888955116272
14.0,0,149.0,0.32407971396542234,0.8322147727012634
14.0,2,158.0,0.2760543300758434,0.9936708807945251
15.0,1,144.0,0.30104248391257393,0.9166666865348816
15.0,2,158.0,0.26783258232134804,0.9936708807945251
15.0,0,149.0,0.21111913055381518,0.9798657894134521
