round,train_loss,train_score
1.0,1.5852342247962952,0.25
2.0,1.5454000991124373,0.25360576808452606
3.0,1.4742085658586943,0.359375
4.0,1.3922054354961102,0.40745191276073456
5.0,1.3000674408215742,0.41586539149284363
6.0,1.2031955627294688,0.4579326882958412
7.0,1.1481991135157072,0.4891826808452606
8.0,1.013529040492498,0.5468749925494194
9.0,1.0189470706077723,0.5192307680845261
10.0,0.9409811943769455,0.5492788553237915
11.0,0.9516062839673116,0.5600961670279503
12.0,0.9280742292220776,0.5480769202113152
13.0,0.9331117444313489,0.5637019351124763
14.0,0.9126937996882659,0.5468749850988388
15.0,0.9048989174457697,0.5973557755351067
