round,client_id,num_examples,train_loss,train_score,train_r2
1.0,2,158.0,0.06539539978662624,0.255725234746933,-3.4055910110473633
1.0,0,149.0,0.07140461560463746,0.26721641421318054,-2.3040177822113037
1.0,1,144.0,0.06639525915185611,0.2576727569103241,-1.3359875679016113
2.0,2,158.0,0.021936908906585055,0.14811113476753235,-0.47785699367523193
2.0,0,149.0,0.032992583243238845,0.18163859844207764,-0.5266251564025879
2.0,1,144.0,0.03780290649996863,0.1944296956062317,-0.33002138137817383
3.0,0,149.0,0.03146732956071028,0.17739033699035645,-0.45604896545410156
3.0,2,158.0,0.027538080664375162,0.16594602167606354,-0.8551996946334839
3.0,1,144.0,0.04698814203341802,0.21676748991012573,-0.6531860828399658
4.0,2,158.0,0.025616875507786303,0.16005273163318634,-0.7257708311080933
4.0,1,144.0,0.03983303242259555,0.19958214461803436,-0.4014475345611572
4.0,0,149.0,0.030123865219370632,0.17356227338314056,-0.39388442039489746
5.0,1,144.0,0.03753171736995379,0.19373103976249695,-0.3204803466796875
5.0,0,149.0,0.028335495258137684,0.16833150386810303,-0.31113338470458984
5.0,2,158.0,0.02307944596285307,0.15191921591758728,-0.5548280477523804
